resale_price,floor_area_sqm,price_per_sqm,storey_range,,region,storey,no_4_s,no_8_s,unit,no_4_u,no_8_,total_4,total_8
670000,100,6700,10 TO 12,421,OCR,11,0,0,421,1,0,1,0
635000,149,4261.744966,04 TO 06,223,OCR,5,0,0,223,0,0,0,0
628000,95,6610.526316,13 TO 15,2,OCR,14,1,0,2,0,0,1,0
630000,147,4285.714286,04 TO 06,362,OCR,5,0,0,362,0,0,0,0
400000,116,3448.275862,10 TO 12,485,OCR,11,0,0,485,1,1,1,1
300000,67,4477.61194,04 TO 06,84,OCR,5,0,0,84,1,1,1,1
450000,143,3146.853147,07 TO 09,529,OCR,8,0,1,529,0,0,0,1
360000,99,3636.363636,04 TO 06,419,OCR,5,0,0,419,1,0,1,0
385000,67,5746.268657,10 TO 12,434,OCR,11,0,0,434,2,0,2,0
365000,91,4010.989011,04 TO 06,128,OCR,5,0,0,128,0,1,0,1
380000,68,5588.235294,04 TO 06,527,OCR,5,0,0,527,0,0,0,0
237000,59,4016.949153,07 TO 09,74,OCR,8,0,1,74,1,0,1,1
365000,96,3802.083333,04 TO 06,179,OCR,5,0,0,179,0,0,0,0
448000,101,4435.643564,07 TO 09,370,OCR,8,0,1,370,0,0,0,1
420000,90,4666.666667,07 TO 09,672,OCR,8,0,1,672,0,0,0,1
500000,123,4065.04065,10 TO 12,565,OCR,11,0,0,565,0,0,0,0
235000,67,3507.462687,04 TO 06,24,OCR,5,0,0,24,1,0,1,0
445000,110,4045.454545,04 TO 06,301,OCR,5,0,0,301,0,0,0,0
380000,119,3193.277311,01 TO 03,451,OCR,2,0,0,451,1,0,1,0
400000,104,3846.153846,07 TO 09,489,OCR,8,0,1,489,1,1,1,2
350000,110,3181.818182,01 TO 03,690,OCR,2,0,0,690,0,0,0,0
304000,99,3070.707071,04 TO 06,898,OCR,5,0,0,898,0,2,0,2
399000,115,3469.565217,01 TO 03,542,OCR,2,0,0,542,1,0,1,0
405000,110,3681.818182,04 TO 06,121,OCR,5,0,0,121,0,0,0,0
463000,92,5032.608696,04 TO 06,265,OCR,5,0,0,265,0,0,0,0
322000,104,3096.153846,04 TO 06,229,OCR,5,0,0,229,0,0,0,0
338000,101,3346.534653,01 TO 03,541,OCR,2,0,0,541,1,0,1,0
492000,93,5290.322581,13 TO 15,269,OCR,14,1,0,269,0,0,1,0
240000,65,3692.307692,07 TO 09,98,RCR,8,0,1,98,0,1,0,2
616000,112,5500,16 TO 18,207,OCR,17,0,0,207,0,0,0,0
260000,67,3880.597015,04 TO 06,304,OCR,5,0,0,304,1,0,1,0
408000,93,4387.096774,07 TO 09,990,OCR,8,0,1,990,0,0,0,1
450000,121,3719.008264,07 TO 09,319,OCR,8,0,1,319,0,0,0,1
400000,72,5555.555556,07 TO 09,633,CCR,8,0,1,633,0,0,0,1
466188,114,4089.368421,16 TO 18,340,OCR,17,0,0,340,1,0,1,0
308000,82,3756.097561,10 TO 12,226,OCR,11,0,0,226,0,0,0,0
722000,155,4658.064516,10 TO 12,422,OCR,11,0,0,422,1,0,1,0
590000,105,5619.047619,04 TO 06,422,OCR,5,0,0,422,1,0,1,0
590000,120,4916.666667,13 TO 15,724,OCR,14,1,0,724,1,0,2,0
270000,82,3292.682927,04 TO 06,229,OCR,5,0,0,229,0,0,0,0
818000,88,9295.454545,28 TO 30,53,RCR,29,0,0,53,0,0,0,0
450000,92,4891.304348,04 TO 06,477,OCR,5,0,0,477,1,0,1,0
245000,67,3656.716418,04 TO 06,570,OCR,5,0,0,570,0,0,0,0
268000,48,5583.333333,01 TO 03,8,RCR,2,0,0,8,0,1,0,1
465000,135,3444.444444,04 TO 06,338,OCR,5,0,0,338,0,1,0,1
858000,100,8580,01 TO 03,47,RCR,2,0,0,47,1,0,1,0
320000,84,3809.52381,10 TO 12,257,OCR,11,0,0,257,0,0,0,0
378000,100,3780,04 TO 06,320,OCR,5,0,0,320,0,0,0,0
670000,115,5826.086957,07 TO 09,476,OCR,8,0,1,476,1,0,1,1
248000,74,3351.351351,10 TO 12,286,OCR,11,0,0,286,0,1,0,1
510000,130,3923.076923,01 TO 03,630,OCR,2,0,0,630,0,0,0,0
508000,142,3577.464789,07 TO 09,453,OCR,8,0,1,453,1,0,1,1
275000,73,3767.123288,07 TO 09,630,OCR,8,0,1,630,0,0,0,1
338000,71,4760.56338,07 TO 09,227,OCR,8,0,1,227,0,0,0,1
275000,68,4044.117647,07 TO 09,154,OCR,8,0,1,154,1,0,1,1
385000,92,4184.782609,04 TO 06,167,OCR,5,0,0,167,0,0,0,0
655000,85,7705.882353,07 TO 09,55,RCR,8,0,1,55,0,0,0,1
515000,92,5597.826087,04 TO 06,310,OCR,5,0,0,310,0,0,0,0
430000,121,3553.719008,10 TO 12,162,OCR,11,0,0,162,0,0,0,0
595000,100,5950,16 TO 18,109,RCR,17,0,0,109,0,0,0,0
320000,104,3076.923077,10 TO 12,933,OCR,11,0,0,933,0,0,0,0
300000,67,4477.61194,10 TO 12,244,OCR,11,0,0,244,2,0,2,0
412000,104,3961.538462,04 TO 06,558,OCR,5,0,0,558,0,1,0,1
300000,73,4109.589041,04 TO 06,260,OCR,5,0,0,260,0,0,0,0
430888,111,3881.873874,07 TO 09,671,OCR,8,0,1,671,0,0,0,1
282000,73,3863.013699,01 TO 03,475,OCR,2,0,0,475,1,0,1,0
252000,67,3761.19403,01 TO 03,741,OCR,2,0,0,741,1,0,1,0
315000,100,3150,01 TO 03,332,OCR,2,0,0,332,0,0,0,0
330000,123,2682.926829,01 TO 03,758,OCR,2,0,0,758,0,1,0,1
350000,83,4216.86747,07 TO 09,126,OCR,8,0,1,126,0,0,0,1
330000,103,3203.883495,01 TO 03,250,OCR,2,0,0,250,0,0,0,0
470000,103,4563.106796,10 TO 12,124,OCR,11,0,0,124,1,0,1,0
372000,102,3647.058824,10 TO 12,104,OCR,11,0,0,104,1,0,1,0
196000,59,3322.033898,13 TO 15,185,OCR,14,1,0,185,0,1,1,1
393000,100,3930,13 TO 15,909,OCR,14,1,0,909,0,0,1,0
448000,103,4349.514563,07 TO 09,272,OCR,8,0,1,272,0,0,0,1
595000,124,4798.387097,13 TO 15,815,OCR,14,1,0,815,0,1,1,1
320000,104,3076.923077,04 TO 06,748,OCR,5,0,0,748,1,1,1,1
697000,90,7744.444444,16 TO 18,36,OCR,17,0,0,36,0,0,0,0
604898,100,6048.98,04 TO 06,60,OCR,5,0,0,60,0,0,0,0
403800,120,3365,04 TO 06,682,OCR,5,0,0,682,0,1,0,1
450000,92,4891.304348,16 TO 18,615,OCR,17,0,0,615,0,0,0,0
342000,67,5104.477612,10 TO 12,377,OCR,11,0,0,377,0,0,0,0
230000,46,5000,19 TO 21,450,OCR,20,0,0,450,1,0,1,0
365000,123,2967.479675,04 TO 06,296,OCR,5,0,0,296,0,0,0,0
280000,78,3589.74359,10 TO 12,6,OCR,11,0,0,6,0,0,0,0
792000,123,6439.02439,04 TO 06,13,RCR,5,0,0,13,0,0,0,0
433000,134,3231.343284,01 TO 03,613,OCR,2,0,0,613,0,0,0,0
775000,150,5166.666667,04 TO 06,149,OCR,5,0,0,149,1,0,1,0
318000,93,3419.354839,01 TO 03,146,OCR,2,0,0,146,1,0,1,0
260000,67,3880.597015,07 TO 09,212,OCR,8,0,1,212,0,0,0,1
270000,84,3214.285714,01 TO 03,218,OCR,2,0,0,218,0,1,0,1
870000,119,7310.92437,19 TO 21,441,OCR,20,0,0,441,2,0,2,0
621000,133,4669.172932,10 TO 12,922,OCR,11,0,0,922,0,0,0,0
600000,121,4958.677686,10 TO 12,279,OCR,11,0,0,279,0,0,0,0
530000,119,4453.781513,13 TO 15,715,OCR,14,1,0,715,0,0,1,0
415000,90,4611.111111,04 TO 06,664,OCR,5,0,0,664,1,0,1,0
378000,110,3436.363636,04 TO 06,295,OCR,5,0,0,295,0,0,0,0
373888,92,4064,04 TO 06,443,OCR,5,0,0,443,2,0,2,0
480000,84,5714.285714,01 TO 03,327,OCR,2,0,0,327,0,0,0,0
345000,84,4107.142857,04 TO 06,124,OCR,5,0,0,124,1,0,1,0
310000,85,3647.058824,04 TO 06,980,OCR,5,0,0,980,0,1,0,1
282000,74,3810.810811,07 TO 09,129,OCR,8,0,1,129,0,0,0,1
365000,59,6186.440678,07 TO 09,24,RCR,8,0,1,24,1,0,1,1
555000,105,5285.714286,13 TO 15,764,OCR,14,1,0,764,1,0,2,0
420000,112,3750,10 TO 12,479,OCR,11,0,0,479,1,0,1,0
385000,92,4184.782609,07 TO 09,780,OCR,8,0,1,780,0,1,0,2
295000,82,3597.560976,07 TO 09,524,OCR,8,0,1,524,1,0,1,1
730000,90,8111.111111,10 TO 12,27,RCR,11,0,0,27,0,0,0,0
247000,67,3686.567164,01 TO 03,107,OCR,2,0,0,107,0,0,0,0
