,Rank,School_Name,Latitude,Longitude
0,1,Rosyth School ,1.372915796,103.87469320000001
1,3,Pei Hwa Presbyterian Primary School ,1.338067044,103.77619150000001
2,4,Ai Tong School ,1.360736365,103.8330757
3,5,Nan Hua Primary School ,1.319836638,103.761404
4,6,Temasek Primary School ,1.317716389,103.9456952
5,7,Rulang Primary School ,1.346844456,103.7190098
6,9,Tao Nan School ,1.3046315290000001,103.9112042
7,11,Anglo-Chinese School (Primary) ,1.318718599,103.8353452
8,12,Pei Chun Public School ,1.337288933,103.8554735
9,13,Henry Park Primary School ,1.316725811,103.7842083
10,14,Nanyang Primary School ,1.32111549,103.8064681
11,15,Radin Mas Primary School ,1.274961612,103.82418
12,16,Gongshang Primary School ,1.357348982,103.9488719
13,17,Anglo-Chinese School (Junior) ,1.309321297,103.8406435
14,18,Methodist Girls School (Primary) ,1.349841864,103.88497840000001
15,19,CHIJ Primary (Toa Payoh) ,1.332752637,103.8418473
16,20,Fairfield Methodist School (Primary) ,1.300798691,103.7856922
17,21,Red Swastika School ,1.33349383,103.93437490000001
18,22,Kuo Chuan Presbyterian Primary School ,1.3491145740000001,103.85444770000001
19,23,Holy Innocents Primary School ,1.366737841,103.89368409999999
20,24,Yu Neng Primary School ,1.3339038090000002,103.9320341
21,25,Singapore Chinese Girls School (Primary) ,1.321252314,103.82770909999999
22,26,Frontier Primary School ,1.3366431220000001,103.6996828
23,27,South View Primary School ,1.381766725,103.74728979999999
24,28,Chongzheng Primary School ,1.350594769,103.9512252
25,29,Chongfu School ,1.438462312,103.83907070000001
26,30,River Valley Primary School ,1.294183475,103.8360189
27,31,Sengkang Green Primary School ,1.3928392509999998,103.8751588
28,32,Westwood Primary School ,1.3471546319999999,103.7005267
29,33,Pasir Ris Primary School ,1.372308619,103.9629189
30,34,Anderson Primary School ,1.384665965,103.84123840000001
31,35,Kong Hwa School ,1.311114219,103.88820940000001
32,36,Shuqun Primary School ,1.34756849,103.721558
33,37,Nan Chiau Primary School ,1.392064685,103.890925
34,39,West Spring Primary School ,1.389463118,103.76607729999999
35,40,Princess Elizabeth Primary School ,1.349194518,103.7409996
36,41,Canberra Primary School ,1.4510640069999998,103.8159709
37,43,Northland Primary School ,1.421304044,103.8407929
38,44,Admiralty Primary School ,1.4426796169999998,103.80011440000001
39,45,Maha Bodhi School ,1.328407723,103.9015276
40,47,Punggol View Primary School ,1.4053333140000002,103.9053865
41,48,Xinmin Primary School ,1.371414726,103.88303909999999
42,49,Punggol Green Primary School ,1.4018048730000001,103.89877290000001
43,50,Bukit Panjang Primary School ,1.373472192,103.7693175
44,51,Paya Lebar Methodist Girls School (Primary) ,1.349841864,103.88497840000001
45,52,Riverside Primary School ,1.44710495,103.80192120000001
46,53,Qifa Primary School ,1.312621542,103.75703
47,54,Mee Toh School ,1.394853563,103.90857259999999
48,55,Jurong Primary School ,1.348684512,103.73297480000001
49,56,Keming Primary School ,1.3452450530000002,103.7562645
50,57,White Sands Primary School ,1.365517813,103.9609482
51,58,Horizon Primary School ,1.400008815,103.9130715
52,59,Raffles Girls Primary School ,1.3300739190000002,103.8062213
53,60,Hong Wen School ,1.321689285,103.8576518
54,61,Oasis Primary School ,1.40440927,103.9109964
55,63,Innova Primary School ,1.429184592,103.7905571
56,64,Poi Ching School ,1.358087001,103.93535250000001
57,65,CHIJ Our Lady of The Nativity ,1.373174017,103.89765940000001
58,66,Ngee Ann Primary School ,1.305540153,103.9177554
59,67,Yangzheng Primary School ,1.348972024,103.8683625
60,68,Fengshan Primary School ,1.330324955,103.9318854
61,70,Waterway Primary School ,1.39915421,103.9186708
62,71,Fern Green Primary School ,1.397620783,103.88021009999999
63,72,Junyuan Primary School ,1.347891544,103.9396469
64,73,Hougang Primary School ,1.378039861,103.8811662
65,74,Jurong West Primary School ,1.3392437529999999,103.6988958
66,75,De La Salle School ,1.395071916,103.74344359999999
67,76,Wellington Primary School ,1.451933871,103.82232059999998
68,77,Springdale Primary School ,1.394958184,103.88989649999999
69,79,Teck Ghee Primary School ,1.365200631,103.8510322
70,80,Tampines Primary School ,1.3504863980000001,103.9435731
71,82,Chua Chu Kang Primary School ,1.377743283,103.7418605
72,83,Huamin Primary School ,1.4269977459999998,103.84420970000001
73,84,Woodlands Primary School ,1.436746383,103.79177170000001
74,85,Tanjong Katong Primary School ,1.305307371,103.9005317
75,86,Jiemin Primary School ,1.4276468519999999,103.8304804
76,87,Woodgrove Primary School ,1.43305806,103.7903896
77,89,CHIJ Our Lady of Good Counsel ,1.357951427,103.8642502
78,90,Fuchun Primary School ,1.430639768,103.77817519999999
79,91,Punggol Cove Primary School ,1.411563565,103.8989704
80,93,Canossa Catholic Primary School ,1.32651106,103.8817569
81,94,Dazhong Primary School ,1.3590589919999998,103.7481615
82,95,Anchor Green Primary School ,1.390662478,103.8872561
83,96,Haig Girls School ,1.3115391140000001,103.9033936
84,97,Xingnan Primary School ,1.3426848759999999,103.687724
85,98,Jing Shan Primary School ,1.3718926759999999,103.85181109999999
86,99,Compassvale Primary School ,1.3945298309999998,103.8978648
87,100,Rivervale Primary School ,1.393573805,103.9047183
88,101,Punggol Primary School ,1.3782006230000001,103.89475329999999
89,102,CHIJ Our Lady Queen of Peace ,1.366758014,103.7676948
90,103,Geylang Methodist School (Primary) ,1.31759275,103.883893
91,104,Yishun Primary School ,1.433496399,103.83402740000001
92,105,Zhenghua Primary School ,1.3798023609999999,103.7691708
93,106,Evergreen Primary School ,1.4441483590000002,103.7945453
94,107,Opera Estate Primary School ,1.319968755,103.9237527
95,108,Concord Primary School ,1.380411513,103.7361428
96,109,Montfort Junior School ,1.373937639,103.8896908
97,110,West Grove Primary School ,1.3447121219999998,103.6989642
98,111,Fuhua Primary School ,1.336403763,103.73666949999999
99,112,Alexandra Primary School ,1.291299035,103.82394079999999
100,113,Fernvale Primary School ,1.389979408,103.874101
101,114,Peiying Primary School ,1.417408192,103.8302995
102,115,Elias Park Primary School ,1.375056963,103.94528940000001
103,116,Pei Tong Primary School ,1.316148017,103.76757629999999
104,117,Yumin Primary School ,1.3514596030000001,103.9507161
105,118,Lakeside Primary School ,1.3383757029999999,103.7180505
106,119,Naval Base Primary School ,1.4162801530000002,103.8387977
107,120,North View Primary School ,1.4279434030000002,103.84836829999999
108,121,Qihua Primary School ,1.442035966,103.78833979999999
109,122,Xishan Primary School ,1.433501455,103.83828929999999
110,123,Yew Tee Primary School ,1.396961392,103.7511946
111,124,Casuarina Primary School ,1.372789016,103.9572913
112,125,Kheng Cheng School ,1.337407636,103.84776109999999
113,126,Bendemeer Primary School ,1.322208475,103.86535129999999
114,127,Clementi Primary School ,1.315808563,103.76305479999999
115,129,Damai Primary School ,1.335351315,103.9212683
116,130,Zhangde Primary School ,1.28449822,103.826149
117,131,Bedok Green Primary School ,1.323996276,103.93774499999999
118,132,Queenstown Primary School ,1.295988446,103.8079019
119,133,Changkat Primary School ,1.340208008,103.95218340000001
120,134,Greenridge Primary School ,1.3858737540000001,103.7678146
121,135,Eunos Primary School ,1.324388358,103.9043748
122,136,Sembawang Primary School ,1.445043645,103.8210215
123,137,Endeavour Primary School ,1.45417629,103.81742729999999
124,138,Tampines North Primary School ,1.36069172,103.9489368
125,139,Edgefield Primary School ,1.400297835,103.9074305
126,140,Blangah Rise Primary School ,1.276130304,103.8086392
127,141,Woodlands Ring Primary School ,1.434769705,103.7978411
128,142,Pioneer Primary School ,1.3487209269999998,103.6948679
129,143,East Spring Primary School ,1.353041046,103.96179709999998
130,144,Palm View Primary School ,1.3838407640000001,103.8912151
131,145,Si Ling Primary School ,1.4326998659999999,103.78577879999999
132,146,Farrer Park Primary School ,1.312504162,103.8509027
133,147,Marymount Convent School ,1.340427023,103.839899
134,148,Yuhua Primary School ,1.3429198180000002,103.74086109999999
135,149,Corporation Primary School ,1.35148549,103.70757840000002
136,150,Kranji Primary School ,1.3939100309999999,103.74741540000001
137,151,Ang Mo Kio Primary School ,1.369092065,103.83904140000001
138,152,Mayflower Primary School ,1.376398737,103.8431658
139,153,Northoaks Primary School ,1.456666873,103.81361
140,154,North Vista Primary School ,1.382893394,103.8958542
141,155,Greenwood Primary School ,1.4401104980000001,103.80462929999999
142,156,Park View Primary School ,1.377770261,103.9396887
143,157,Stamford Primary School ,1.3040910829999999,103.857393
144,158,Cedar Primary School ,1.3356412229999999,103.8754913
145,159,West View Primary School ,1.383590574,103.7602891
146,160,Unity Primary School ,1.40282339,103.7469934
147,161,Zhonghua Primary School ,1.360166735,103.8696959
148,162,Marsiling Primary School ,1.434423117,103.77369770000001
149,163,Seng Kang Primary School ,1.389250457,103.89952790000001
150,164,Teck Whye Primary School ,1.383558303,103.75368279999999
151,165,Townsville Primary School ,1.3603626340000001,103.8541855
152,166,Telok Kurau Primary School ,1.330913472,103.9113491
153,167,Xinghua Primary School ,1.357996547,103.89021640000001
154,168,Boon Lay Garden Primary School ,1.3428467080000002,103.712969
155,169,Bukit View Primary School ,1.3459452459999999,103.75358879999999
156,170,Cantonment Primary School ,1.275505441,103.8399227
157,171,Ahmad Ibrahim Primary School ,1.4336812069999998,103.8329243
158,172,Bukit Timah Primary School ,1.337749867,103.76685529999999
159,173,North Spring Primary School ,1.3875282359999999,103.903513
160,174,Meridian Primary School ,1.3759708309999998,103.9351432
161,175,Juying Primary School ,1.338951451,103.68783309999999
162,176,Guangyang Primary School ,1.346042665,103.8492848
163,177,New Town Primary School ,1.299811388,103.7999648
164,178,Greendale Primary School ,1.396402656,103.912566
165,179,First Toa Payoh Primary School ,1.340526165,103.85566750000001
166,180,Beacon Primary School ,1.3842366769999999,103.77375440000002
167,181,Lianhua Primary School ,1.3541550690000002,103.7542104
168,182,Gan Eng Seng Primary School ,1.285955393,103.8152282
169,183,Angsana Primary School ,1.348571433,103.951673
170,184,Yio Chu Kang Primary School ,1.3778227090000001,103.88556870000001
171,185,Northshore Primary School ,1.418136599,103.9044997
172,186,Valour Primary School ,1.406871355,103.8989109
