Rank,School_Name
1,Rosyth School 
2,CHIJ St. Nicholas Girls School (Primary Section) 
3,Pei Hwa Presbyterian Primary School 
4,Ai Tong School 
5,Nan Hua Primary School 
6,Temasek Primary School 
7,Rulang Primary School 
8,Catholic High School (Primary Section) 
9,Tao Nan School 
10,St. Hildas Primary School 
11,Anglo-Chinese School (Primary) 
12,Pei Chun Public School 
13,Henry Park Primary School 
14,Nanyang Primary School 
15,Radin Mas Primary School 
16,Gongshang Primary School 
17,Anglo-Chinese School (Junior) 
18,Methodist Girls School (Primary) 
19,CHIJ Primary (Toa Payoh) 
20,Fairfield Methodist School (Primary) 
21,Red Swastika School 
22,Kuo Chuan Presbyterian Primary School 
23,Holy Innocents Primary School 
24,Yu Neng Primary School 
25,Singapore Chinese Girls School (Primary) 
26,Frontier Primary School 
27,South View Primary School 
28,Chongzheng Primary School 
29,Chongfu School 
30,River Valley Primary School 
31,Sengkang Green Primary School 
32,Westwood Primary School 
33,Pasir Ris Primary School 
34,Anderson Primary School 
35,Kong Hwa School 
36,Shuqun Primary School 
37,Nan Chiau Primary School 
38,St. Josephs Institution Junior 
39,West Spring Primary School 
40,Princess Elizabeth Primary School 
41,Canberra Primary School 
42,Maris Stella High School (Primary Section) 
43,Northland Primary School 
44,Admiralty Primary School 
45,Maha Bodhi School 
46,St. Anthonys Primary School 
47,Punggol View Primary School 
48,Xinmin Primary School 
49,Punggol Green Primary School 
50,Bukit Panjang Primary School 
51,Paya Lebar Methodist Girls School (Primary) 
52,Riverside Primary School 
53,Qifa Primary School 
54,Mee Toh School 
55,Jurong Primary School 
56,Keming Primary School 
57,White Sands Primary School 
58,Horizon Primary School 
59,Raffles Girls Primary School 
60,Hong Wen School 
61,Oasis Primary School 
62,St. Andrews Junior School 
63,Innova Primary School 
64,Poi Ching School 
65,CHIJ Our Lady of The Nativity 
66,Ngee Ann Primary School 
67,Yangzheng Primary School 
68,Fengshan Primary School 
69,St. Margarets Primary School 
70,Waterway Primary School 
71,Fern Green Primary School 
72,Junyuan Primary School 
73,Hougang Primary School 
74,Jurong West Primary School 
75,De La Salle School 
76,Wellington Primary School 
77,Springdale Primary School 
78,St. Gabriels Primary School 
79,Teck Ghee Primary School 
80,Tampines Primary School 
81,CHIJ (Katong) Primary 
82,Chua Chu Kang Primary School 
83,Huamin Primary School 
84,Woodlands Primary School 
85,Tanjong Katong Primary School 
86,Jiemin Primary School 
87,Woodgrove Primary School 
88,CHIJ (Kellock) 
89,CHIJ Our Lady of Good Counsel 
90,Fuchun Primary School 
91,Punggol Cove Primary School 
92,St. Stephens School 
93,Canossa Catholic Primary School 
94,Dazhong Primary School 
95,Anchor Green Primary School 
96,Haig Girls School 
97,Xingnan Primary School 
98,Jing Shan Primary School 
99,Compassvale Primary School 
100,Rivervale Primary School 
101,Punggol Primary School 
102,CHIJ Our Lady Queen of Peace 
103,Geylang Methodist School (Primary) 
104,Yishun Primary School 
105,Zhenghua Primary School 
106,Evergreen Primary School 
107,Opera Estate Primary School 
108,Concord Primary School 
109,Montfort Junior School 
110,West Grove Primary School 
111,Fuhua Primary School 
112,Alexandra Primary School 
113,Fernvale Primary School 
114,Peiying Primary School 
115,Elias Park Primary School 
116,Pei Tong Primary School 
117,Yumin Primary School 
118,Lakeside Primary School 
119,Naval Base Primary School 
120,North View Primary School 
121,Qihua Primary School 
122,Xishan Primary School 
123,Yew Tee Primary School 
124,Casuarina Primary School 
125,Kheng Cheng School 
126,Bendemeer Primary School 
127,Clementi Primary School 
128,St. Anthonys Canossian Primary School 
129,Damai Primary School 
130,Zhangde Primary School 
131,Bedok Green Primary School 
132,Queenstown Primary School 
133,Changkat Primary School 
134,Greenridge Primary School 
135,Eunos Primary School 
136,Sembawang Primary School 
137,Endeavour Primary School 
138,Tampines North Primary School 
139,Edgefield Primary School 
140,Blangah Rise Primary School 
141,Woodlands Ring Primary School 
142,Pioneer Primary School 
143,East Spring Primary School 
144,Palm View Primary School 
145,Si Ling Primary School 
146,Farrer Park Primary School 
147,Marymount Convent School 
148,Yuhua Primary School 
149,Corporation Primary School 
150,Kranji Primary School 
151,Ang Mo Kio Primary School 
152,Mayflower Primary School 
153,Northoaks Primary School 
154,North Vista Primary School 
155,Greenwood Primary School 
156,Park View Primary School 
157,Stamford Primary School 
158,Cedar Primary School 
159,West View Primary School 
160,Unity Primary School 
161,Zhonghua Primary School 
162,Marsiling Primary School 
163,Seng Kang Primary School 
164,Teck Whye Primary School 
165,Townsville Primary School 
166,Telok Kurau Primary School 
167,Xinghua Primary School 
168,Boon Lay Garden Primary School 
169,Bukit View Primary School 
170,Cantonment Primary School 
171,Ahmad Ibrahim Primary School 
172,Bukit Timah Primary School 
173,North Spring Primary School 
174,Meridian Primary School 
175,Juying Primary School 
176,Guangyang Primary School 
177,New Town Primary School 
178,Greendale Primary School 
179,First Toa Payoh Primary School 
180,Beacon Primary School 
181,Lianhua Primary School 
182,Gan Eng Seng Primary School 
183,Angsana Primary School 
184,Yio Chu Kang Primary School 
185,Northshore Primary School 
186,Valour Primary School 
